host,rank,reason
akamai.net,8,unresolvable
ezviz7.com,14,unresolvable
domaincontrol.com,18,private_dns
akamaiedge.net,23,unresolvable
hicloudcam.com,25,unresolvable
gtld-servers.net,26,unresolvable
akadns.net,27,unresolvable
apple-dns.net,33,unresolvable
aaplimg.com,38,unresolvable
microsoftonline.com,39,unresolvable
office.net,40,unresolvable
trafficmanager.net,42,unresolvable
cloudfront.net,52,unresolvable
pv-cdn.net,62,unresolvable
gvt1.com,63,unresolvable
windowsupdate.com,66,unresolvable
root-servers.net,76,unresolvable
cdninstagram.com,78,unresolvable
tiktokcdn.com,80,unresolvable
akam.net,82,unresolvable
gvt2.com,84,unresolvable
edgekey.net,85,unresolvable
ytimg.com,89,unresolvable
edgesuite.net,97,unresolvable
highwebmedia.com,99,unresolvable
gwfb.net,102,unresolvable
a2z.com,107,unresolvable
yccdn.ru,112,unresolvable
aws.dev,113,unresolvable
cdn77.org,126,unresolvable
dnsowl.com,133,unresolvable
amazon.dev,134,unresolvable
msftncsi.com,139,unresolvable
miit.gov.cn,145,unresolvable
static.microsoft,146,unresolvable
iiko.it,148,unresolvable
azurefd.net,150,unresolvable
steamserver.net,155,unresolvable
msftconnecttest.com,160,unresolvable
jomodns.com,164,unresolvable
tm-azurefd.net,165,unresolvable
dns-parking.com,166,unresolvable
ax-msedge.net,170,unresolvable
3gppnetwork.org,172,unresolvable
vedcdnlb.com,174,unresolvable
azurewebsites.net,176,unresolvable
ggpht.com,178,unresolvable
doctolib.net,184,unresolvable
cdn-apple.com,187,unresolvable
hichina.com,191,unresolvable
namebrightdns.com,192,unresolvable
nflxso.net,193,unresolvable
bytefcdn-oversea.com,195,unresolvable
ttdns2.com,204,unresolvable
ksyuncdn.com,208,unresolvable
fastly-edge.com,217,unresolvable
sfx.ms,218,unresolvable
capcutapi.com,221,unresolvable
akamaized.net,226,unresolvable
nr-data.net,233,unresolvable
azureedge.net,234,unresolvable
playstation.net,236,unresolvable
yandexcloud.net,237,unresolvable
wsdvs.com,244,unresolvable
rbxcdn.com,245,unresolvable
omtrdc.net,250,unresolvable
ripn.net,255,unresolvable
alibabadns.com,262,unresolvable
name-services.com,267,unresolvable
wixsite.com,269,unresolvable
media-amazon.com,271,unresolvable
ttvnw.net,273,unresolvable
facebook.net,275,unresolvable
spov-msedge.net,276,unresolvable
aliyuncsslbintl.com,283,unresolvable
shiabank.com,284,unresolvable
2mdn.net,286,unresolvable
tiktokcdn-us.com,298,unresolvable
byteoversea.net,301,unresolvable
wac-msedge.net,315,unresolvable
mtgglobals.com,323,unresolvable
samsungqbe.com,324,unresolvable
douyincdn.com,325,unresolvable
heytapmobile.com,326,unresolvable
akamaihd.net,330,unresolvable
awswaf.com,338,unresolvable
edgcdn.net,346,unresolvable
vecdnlb.com,354,unresolvable
licdn.com,356,unresolvable
allawnos.com,362,unresolvable
samsungcloudsolution.com,374,unresolvable
cdnbuild.net,380,unresolvable
tiktokv.us,381,unresolvable
volcfcdndvs.com,382,unresolvable
virginm.net,386,unresolvable
online-metrix.net,389,unresolvable
demdex.net,396,unresolvable
shopifysvc.com,398,unresolvable
ibyteimg.com,399,unresolvable
xcal.tv,401,unresolvable
gandi-ns.fr,403,unresolvable
rocket-cdn.com,408,unresolvable
kwai-pro.com,411,unresolvable
heytapdl.com,420,unresolvable
tiktokv.eu,425,unresolvable
tiktokcdn-eu.com,431,unresolvable
beian.gov.cn,433,unresolvable
kaspersky-labs.com,435,private_dns
avcdn.net,437,unresolvable
pangle.io,438,unresolvable
dotaplabs.net,442,unresolvable
kwaipros.com,443,unresolvable
byteglb.com,444,unresolvable
awsglobalaccelerator.com,445,unresolvable
myqcloud.com,455,private_dns
enacdn.net,456,unresolvable
tencent-cloud.net,466,private_dns
vercel-dns-016.com,475,unresolvable
dual-s-msedge.net,480,unresolvable
bdydns.com,485,unresolvable
sc-gw.com,491,unresolvable
impervadns.net,506,unresolvable
libp2p.direct,508,unresolvable
exp-tas.com,520,unresolvable
squarespacedns.com,522,unresolvable
ui-dns.com,524,unresolvable
ipv4only.arpa,525,private_dns
adobedtm.com,528,unresolvable
on.aws,537,unresolvable
mynetname.net,543,unresolvable
adobedc.net,545,unresolvable
spo-msedge.net,547,unresolvable
whecloud.com,552,unresolvable
azure-dns.com,554,unresolvable
vidaahub.com,557,unresolvable
live.net,560,unresolvable
svc.ms,561,unresolvable
myhuaweicloud.com,567,unresolvable
hicloud.com,569,unresolvable
nstld.com,571,unresolvable
qlivecdn.com,573,unresolvable
yahoodns.net,576,unresolvable
t-msedge.net,578,unresolvable
my.com,587,unresolvable
rlcdn.com,589,unresolvable
easebar.com,593,unresolvable
vercel-dns-3.com,598,unresolvable
bx-msedge.net,599,unresolvable
cdn20.com,601,unresolvable
footprintdns.com,607,unresolvable
h264.io,612,unresolvable
e2ro.com,620,unresolvable
wswebcdn.com,621,unresolvable
supertms.com,626,unresolvable
scdn.co,636,unresolvable
msidentity.com,640,unresolvable
ioref.io,642,unresolvable
bytedns1.com,647,unresolvable
vercel-dns-017.com,650,unresolvable
googletagservices.com,653,unresolvable
bidswitch.net,654,unresolvable
vedsalb.com,667,unresolvable
resolver.arpa,670,unresolvable
cmediahub.ru,675,unresolvable
bunnyinfra.net,676,unresolvable
ks-cdn.com,677,unresolvable
share-dns.com,680,unresolvable
pvp.net,683,unresolvable
geobasket.ru,687,unresolvable
googlezip.net,690,unresolvable
twimg.com,701,unresolvable
cdnhwc1.com,708,unresolvable
samsungacr.com,711,unresolvable
nel.goog,726,unresolvable
bamgrid.com,732,unresolvable
dbankcloud.com,737,unresolvable
agkn.com,743,unresolvable
githubusercontent.com,744,unresolvable
1rx.io,746,unresolvable
bidr.io,747,unresolvable
imrworldwide.com,750,unresolvable
nmrodam.com,751,unresolvable
grammarly.io,755,unresolvable
safebrowsing.apple,757,unresolvable
steamstatic.com,763,unresolvable
criteo.net,767,unresolvable
usgovcloudapi.net,769,unresolvable
herokudns.com,770,unresolvable
akamaitech.net,774,unresolvable
ovscdns.com,782,unresolvable
wcdnga.com,785,unresolvable
sc-cdn.net,794,unresolvable
liadm.com,797,unresolvable
cloudsink.net,816,unresolvable
keenetic.io,817,unresolvable
goskope.com,825,unresolvable
grab.co,831,unresolvable
orderbox-dns.com,836,unresolvable
turn.com,837,unresolvable
a-msedge.net,844,unresolvable
lgtvcommon.com,845,unresolvable
msftauth.net,857,unresolvable
nintendo.net,860,unresolvable
adgrx.com,866,unresolvable
yellowblue.io,870,unresolvable
spotifycdn.com,891,unresolvable
azure-devices.net,893,unresolvable
ssl-images-amazon.com,895,unresolvable
immedia-semi.com,902,unresolvable
dnse0.com,904,unresolvable
dbankcloud.ru,911,unresolvable
queniuaa.com,914,unresolvable
zpath.net,915,unresolvable
t-s1-msedge.net,916,unresolvable
bytefcdn.com,921,unresolvable
samsungiotcloud.com,926,unresolvable
samsungosp.com,927,unresolvable
volcgslb.com,932,unresolvable
dnse2.com,935,unresolvable
tiktokw.us,939,unresolvable
go-mpulse.net,944,unresolvable
zenecn.net,945,unresolvable
cdn-vk.ru,952,unresolvable
4dex.io,973,unresolvable
aiv-delivery.net,975,unresolvable
smaato.net,985,unresolvable
ln-msedge.net,986,unresolvable
nexthink.cloud,999,unresolvable
transsion-os.com,1000,unresolvable
